Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Cash,Reason,rsi_entry,rsi_exit,bb_std,exposure,acr_window,acr_factor
2013-01-01 18:02:00,2013-01-01 18:08:00,1.31959,1.31925,45468.66829848665,-15.459347221485777,984.5406527785142,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-01 23:43:00,2013-01-01 23:47:00,1.32586,1.32534,44554.05485248129,-23.168108523293654,961.3725442552205,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-02 04:27:00,2013-01-02 04:32:00,1.32616,1.32537,43495.771743464764,-34.36165967734014,927.0108845778803,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-02 05:23:00,2013-01-02 05:27:00,1.32454,1.32337,41992.42988107027,-49.13114296085706,877.8797416170232,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-02 09:02:00,2013-01-02 09:14:00,1.32437,1.32529,39771.95534255638,36.59019891515314,914.4699405321763,Signal Exit,35,55,1.75,0.6,20,1.5
2013-01-02 10:51:00,2013-01-02 11:03:00,1.32414,1.32365,41436.85443527917,-20.304058673291,894.1658818588853,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-02 11:06:00,2013-01-02 11:08:00,1.32252,1.32171,40566.4586634101,-32.85883151736127,861.307050341524,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-02 12:26:00,2013-01-02 12:49:00,1.31606,1.31727,39267.528091797816,47.51370899107274,908.8207593325967,Take Profit,35,55,1.75,0.6,20,1.5
2013-01-02 14:04:00,2013-01-02 14:05:00,1.31623,1.31599,41428.356411839726,-9.94280553884228,898.8779537937544,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-02 17:07:00,2013-01-02 17:27:00,1.31782,1.31839,40925.67818641792,23.327636566256555,922.2055903600109,Take Profit,35,55,1.75,0.6,20,1.5
2013-01-02 18:13:00,2013-01-02 18:20:00,1.31809,1.31787,41979.178524683935,-9.23541927542572,912.9701710845852,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-02 18:31:00,2013-01-02 18:37:00,1.31767,1.31792,41572.02506323671,10.393006265812648,923.3631773503979,Take Profit,35,55,1.75,0.6,20,1.5
2013-01-02 19:59:00,2013-01-02 20:03:00,1.31818,1.31756,42029.002595263075,-26.057981609056505,897.3051957413414,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-02 20:05:00,2013-01-02 20:09:00,1.31742,1.31714,40866.475189750025,-11.442613053132376,885.862582688209,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-02 21:47:00,2013-01-02 21:50:00,1.31658,1.31633,40371.078826423414,-10.092769706609223,875.7698129815998,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-02 21:55:00,2013-01-02 22:52:00,1.31304,1.31384,40018.726603070725,32.01498128245306,907.7847942640528,Signal Exit,35,55,1.75,0.6,20,1.5
2013-01-03 02:46:00,2013-01-03 03:10:00,1.31367,1.31448,41461.773242780284,33.584036326660296,941.3688305907132,Take Profit,35,55,1.75,0.6,20,1.5
2013-01-03 04:53:00,2013-01-03 05:03:00,1.31472,1.31438,42961.337650178575,-14.606854801061015,926.7619757896522,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-03 09:31:00,2013-01-03 09:39:00,1.31016,1.30975,42441.92964781334,-17.40119115560438,909.3607846340478,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-03 10:51:00,2013-01-03 10:54:00,1.30998,1.30963,41650.748162600095,-14.577761856903804,894.7830227771441,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-03 12:02:00,2013-01-03 12:15:00,1.31055,1.31104,40965.22938203704,20.07296239719321,914.8559851743373,Take Profit,35,55,1.75,0.6,20,1.5
2013-01-03 13:06:00,2013-01-03 13:49:00,1.31089,1.31101,41873.35253946573,5.024802304731615,919.8807874790689,Signal Exit,35,55,1.75,0.6,20,1.5
2013-01-03 14:02:00,2013-01-03 14:04:00,1.308,1.3089,42196.36639812242,37.976729758306,957.8575172373749,Take Profit,35,55,1.75,0.6,20,1.5
2013-01-03 15:23:00,2013-01-03 15:38:00,1.30538,1.30506,44026.60607198095,-14.08851394302844,943.7690032943464,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-03 16:59:00,2013-01-03 17:01:00,1.30481,1.30509,43397.99679467568,12.151439102511707,955.9204423968581,Take Profit,35,55,1.75,0.6,20,1.5
2013-01-03 17:21:00,2013-01-03 17:35:00,1.30423,1.30385,43976.31287718538,-16.71099889333251,939.2094435035256,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-03 18:52:00,2013-01-03 19:02:00,1.30245,1.30325,43266.58728566281,34.61326982852644,973.822713332052,Take Profit,35,55,1.75,0.6,20,1.5
2013-01-03 21:41:00,2013-01-03 21:46:00,1.30237,1.30266,44863.873399973214,13.01052328598781,986.8332366180398,Take Profit,35,55,1.75,0.6,20,1.5
2013-01-04 01:57:00,2013-01-04 02:03:00,1.30379,1.30329,45413.75083186892,-22.70687541593196,964.1263612021078,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-04 02:07:00,2013-01-04 02:13:00,1.30188,1.30139,44433.88151913115,-21.772601944368905,942.3537592577388,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-04 04:20:00,2013-01-04 04:27:00,1.30028,1.30101,43483.88466750571,31.743235807274704,974.0969950650135,Take Profit,35,55,1.75,0.6,20,1.5
2013-01-04 05:59:00,2013-01-04 06:25:00,1.30058,1.3013,44938.27346560827,32.3555568952304,1006.4525519602439,Take Profit,35,55,1.75,0.6,20,1.5
2013-01-04 16:13:00,2013-01-04 16:48:00,1.3071,1.30689,46199.336789545276,-9.701860725796259,996.7506912344477,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-04 16:59:00,2013-01-06 17:00:00,1.30677,1.30739,45765.54517938647,28.374638011222583,1025.1253292456702,Take Profit,35,55,1.75,0.6,20,1.5
2013-01-06 18:11:00,2013-01-06 18:12:00,1.30693,1.30666,47062.59689098897,-12.706901160566668,1012.4184280851035,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-06 18:56:00,2013-01-06 19:01:00,1.30665,1.30623,46489.19426403872,-19.525461590900306,992.8929664942032,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-06 19:02:00,2013-01-06 19:12:00,1.30619,1.30602,45608.661825348674,-7.753472510309433,985.1394939838938,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-06 19:48:00,2013-01-06 19:50:00,1.30459,1.30436,45308.0045370834,-10.420841043527028,974.7186529403667,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-06 19:51:00,2013-01-06 19:56:00,1.30432,1.30533,44838.0145795679,45.28639472537153,1020.0050476657383,Take Profit,35,55,1.75,0.6,20,1.5
2013-01-06 22:51:00,2013-01-06 23:01:00,1.30514,1.30553,46891.75326780598,18.287783774449608,1038.292831440188,Take Profit,35,55,1.75,0.6,20,1.5
2013-01-06 23:12:00,2013-01-06 23:13:00,1.30482,1.30461,47744.18685060872,-10.026279238629908,1028.266552201558,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-06 23:29:00,2013-01-06 23:37:00,1.30349,1.30433,47331.38967855026,39.75836732997994,1068.024919531538,Take Profit,35,55,1.75,0.6,20,1.5
2013-01-06 23:56:00,2013-01-07 00:01:00,1.30369,1.30302,49153.93626697472,-32.93313729887053,1035.0917822326674,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-07 02:50:00,2013-01-07 02:56:00,1.30382,1.30337,47633.497671427074,-21.43507395214511,1013.6567082805223,Stop Loss,35,55,1.75,0.6,20,1.5
2013-01-07 03:02:00,2013-01-07 03:33:00,1.30226,1.30293,46702.96445934862,31.290986187761167,1044.9476944682833,Signal Exit,35,55,1.75,0.6,20,1.5
2013-01-07 06:58:00,2013-01-07 07:21:00,1.30342,1.30399,48101.810366648504,27.418031908987697,1072.365726377271,Take Profit,35,55,1.75,0.6,20,1.5
