Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Cash,Reason,Type,rsi_entry,rsi_exit,bb_std,exposure,atr_window,atr_factor
2024-01-01 17:14:00,2024-01-01 17:15:00,1.10431,1.10431,54332.56965888202,0.0,1000.0,Stop Loss,SHORT,35,55,1.75,0.6,20,1.5
2024-01-01 17:17:00,2024-01-01 17:18:00,1.10423,1.10427,54336.5059815437,2.1734602392639215,1002.1734602392639,Take Profit,LONG,35,55,1.75,0.6,20,1.5
2024-01-01 17:22:00,2024-01-01 18:02:00,1.10434,1.10422,54449.18015679575,6.533901618822025,1008.707361858086,Take Profit,SHORT,35,55,1.75,0.6,20,1.5
2024-01-01 18:32:00,2024-01-01 18:49:00,1.1037,1.10357,54835.95334917565,-7.128673935390832,1001.5786879226952,Stop Loss,LONG,35,55,1.75,0.6,20,1.5
2024-01-01 19:22:00,2024-01-01 19:27:00,1.10353,1.10343,54456.80794845788,-5.445680794845188,996.13300712785,Stop Loss,LONG,35,55,1.75,0.6,20,1.5
2024-01-01 19:47:00,2024-01-01 19:48:00,1.10363,1.10377,54155.81347704484,-7.581813886775822,988.5511932410741,Stop Loss,SHORT,35,55,1.75,0.6,20,1.5
2024-01-01 19:52:00,2024-01-01 20:01:00,1.10375,1.10384,53737.7772090278,-4.83639994880839,983.7147932922657,Stop Loss,SHORT,35,55,1.75,0.6,20,1.5
2024-01-01 20:02:00,2024-01-01 20:05:00,1.10399,1.10424,53463.24477353594,-13.365811193388447,970.3489820988772,Stop Loss,SHORT,35,55,1.75,0.6,20,1.5
2024-01-01 20:06:00,2024-01-01 20:10:00,1.10425,1.10399,52724.41831644341,13.708348762271434,984.0573308611486,Take Profit,SHORT,35,55,1.75,0.6,20,1.5
2024-01-01 20:58:00,2024-01-01 21:07:00,1.10353,1.10334,53504.15471411645,-10.165789395677441,973.8915414654712,Stop Loss,LONG,35,55,1.75,0.6,20,1.5
2024-01-01 21:35:00,2024-01-01 21:40:00,1.10262,1.10246,52995.13203817114,-8.479221126104095,965.412320339367,Stop Loss,LONG,35,55,1.75,0.6,20,1.5
