Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Cash,Reason,SL,TP,Prob,sl,tp,rsi_entry,rsi_exit,bb_std,exposure
2013-01-01 18:02:00,2013-01-01 18:03:00,1.31959,1.31959,45468.66829848665,0.0,1000.0,Signal Exit,0.006,0.02,0.5545,0.006,0.02,35,55,1.75,0.6
2013-01-01 23:43:00,2013-01-01 23:47:00,1.32586,1.32534,45253.64668969574,-23.531896278645224,976.4681037213547,Signal Exit,0.006,0.02,0.5298,0.006,0.02,35,55,1.75,0.6
2013-01-02 04:27:00,2013-01-02 04:30:00,1.32616,1.32585,44178.74632267696,-13.695411360031292,962.7726923613235,Signal Exit,0.006,0.02,0.5183,0.006,0.02,35,55,1.75,0.6
2013-01-02 05:23:00,2013-01-02 05:26:00,1.32454,1.3245,43612.3949006292,-1.7444957960269127,961.0281965652965,Signal Exit,0.006,0.02,0.5092,0.006,0.02,35,55,1.75,0.6
2013-01-02 05:27:00,2013-01-02 05:29:00,1.32337,1.32398,43571.85956604563,26.57883433528781,987.6070309005843,Signal Exit,0.006,0.02,0.5109,0.006,0.02,35,55,1.75,0.6
2013-01-02 09:02:00,2013-01-02 09:03:00,1.32437,1.32425,44743.10189300199,-5.369172227165609,982.2378586734187,Signal Exit,0.006,0.02,0.5233,0.006,0.02,35,55,1.75,0.6
2013-01-02 10:51:00,2013-01-02 10:53:00,1.32414,1.3241,44507.58342804017,-1.7803033371233872,980.4575553362953,Signal Exit,0.006,0.02,0.5299,0.006,0.02,35,55,1.75,0.6
2013-01-02 11:03:00,2013-01-02 11:08:00,1.32365,1.32171,44443.35989134417,-86.22011818921003,894.2374371470853,Signal Exit,0.006,0.02,0.5039,0.006,0.02,35,55,1.75,0.6
2013-01-02 12:26:00,2013-01-02 12:27:00,1.31606,1.31634,40768.84505936289,11.415276616623972,905.6527137637092,Signal Exit,0.006,0.02,0.6203,0.006,0.02,35,55,1.75,0.6
2013-01-02 14:04:00,2013-01-02 14:05:00,1.31623,1.31599,41283.94188388241,-9.90814605213252,895.7445677115767,Signal Exit,0.006,0.02,0.5203,0.006,0.02,35,55,1.75,0.6
2013-01-02 17:07:00,2013-01-02 17:09:00,1.31782,1.31801,40783.015937453216,7.748773028112541,903.4933407396892,Signal Exit,0.006,0.02,0.588,0.006,0.02,35,55,1.75,0.6
2013-01-02 18:13:00,2013-01-02 18:16:00,1.31809,1.31803,41127.3892104343,-2.46764335262396,901.0256973870652,Signal Exit,0.006,0.02,0.5067,0.006,0.02,35,55,1.75,0.6
2013-01-02 18:31:00,2013-01-02 18:34:00,1.31767,1.31777,41028.1343911783,4.102813439126488,905.1285108261917,Signal Exit,0.006,0.02,0.6249,0.006,0.02,35,55,1.75,0.6
2013-01-02 19:59:00,2013-01-02 20:02:00,1.31818,1.31827,41199.00973279181,3.7079108759572583,908.836421702149,Signal Exit,0.006,0.02,0.5237,0.006,0.02,35,55,1.75,0.6
2013-01-02 20:05:00,2013-01-02 20:06:00,1.31742,1.3174,41391.64829904582,-0.8278329659863396,908.0085887361627,Signal Exit,0.006,0.02,0.532,0.006,0.02,35,55,1.75,0.6
2013-01-02 21:47:00,2013-01-02 21:49:00,1.31658,1.31656,41380.3303438984,-0.8276066068833898,907.1809821292793,Signal Exit,0.006,0.02,0.5135,0.006,0.02,35,55,1.75,0.6
2013-01-02 21:55:00,2013-01-02 21:58:00,1.31304,1.31304,41454.075220676255,0.0,907.1809821292793,Signal Exit,0.006,0.02,0.5035,0.006,0.02,35,55,1.75,0.6
2013-01-03 02:46:00,2013-01-03 02:50:00,1.31367,1.31359,41434.194986379196,-3.3147355989044507,903.8662465303748,Signal Exit,0.006,0.02,0.5045,0.006,0.02,35,55,1.75,0.6
2013-01-03 04:53:00,2013-01-03 04:55:00,1.31472,1.31455,41249.82870255452,-7.012470879434412,896.8537756509404,Signal Exit,0.006,0.02,0.5155,0.006,0.02,35,55,1.75,0.6
2013-01-03 09:31:00,2013-01-03 09:32:00,1.31016,1.31033,41072.255708506156,6.982283470446189,903.8360591213866,Signal Exit,0.006,0.02,0.5178,0.006,0.02,35,55,1.75,0.6
2013-01-03 10:51:00,2013-01-03 10:55:00,1.30998,1.30946,41397.703436146505,-21.526805786790135,882.3092533345964,Signal Exit,0.006,0.02,0.515,0.006,0.02,35,55,1.75,0.6
2013-01-03 12:02:00,2013-01-03 12:04:00,1.31055,1.3105,40394.15146318399,-2.0197075731634615,880.2895457614329,Signal Exit,0.006,0.02,0.5619,0.006,0.02,35,55,1.75,0.6
2013-01-03 13:06:00,2013-01-03 13:09:00,1.31089,1.31099,40291.231717143295,4.029123171713886,884.3186689331468,Signal Exit,0.006,0.02,0.5863,0.006,0.02,35,55,1.75,0.6
2013-01-03 15:23:00,2013-01-03 15:24:00,1.30538,1.30546,40646.49384546171,3.2517195076401886,887.5703884407869,Signal Exit,0.006,0.02,0.5195,0.006,0.02,35,55,1.75,0.6
2013-01-03 16:59:00,2013-01-03 17:00:00,1.30481,1.30506,40813.77618691397,10.203444046731901,897.7738324875188,Signal Exit,0.006,0.02,0.5081,0.006,0.02,35,55,1.75,0.6
2013-01-03 17:21:00,2013-01-03 17:22:00,1.30423,1.30413,41301.327180981214,-4.130132718097666,893.6436997694211,Signal Exit,0.006,0.02,0.5092,0.006,0.02,35,55,1.75,0.6
2013-01-03 17:35:00,2013-01-03 17:40:00,1.30385,1.30398,41123.30558435806,5.346029725965046,898.9897294953862,Signal Exit,0.006,0.02,0.5319,0.006,0.02,35,55,1.75,0.6
2013-01-03 21:41:00,2013-01-03 21:44:00,1.30237,1.30249,41416.32851626125,4.969959421947125,903.9596889173333,Signal Exit,0.006,0.02,0.5316,0.006,0.02,35,55,1.75,0.6
2013-01-04 01:57:00,2013-01-04 01:58:00,1.30379,1.30379,41599.936596415064,0.0,903.9596889173333,Signal Exit,0.006,0.02,0.5163,0.006,0.02,35,55,1.75,0.6
2013-01-04 02:07:00,2013-01-04 02:08:00,1.30188,1.30172,41660.96824211141,-6.665754918735241,897.293933998598,Signal Exit,0.006,0.02,0.5226,0.006,0.02,35,55,1.75,0.6
