Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Cash,Reason,SL,TP,Prob,sl,tp,rsi_entry,rsi_exit,bb_std,exposure
2014-01-01 20:24:00,2014-01-01 20:28:00,1.37562,1.37529,43616.696471409254,-14.393509835572186,985.6064901644278,Signal Exit,0.006,0.02,0.5802,0.006,0.02,35,55,1.75,0.6
2014-01-01 22:38:00,2014-01-01 22:41:00,1.37634,1.37636,42966.41048713666,0.8593282097483628,986.4658183741761,Signal Exit,0.006,0.02,0.5766,0.006,0.02,35,55,1.75,0.6
2014-01-01 22:45:00,2014-01-01 22:53:00,1.37633,1.37649,43004.184390698865,6.880669502509151,993.3464878766853,Signal Exit,0.006,0.02,0.5562,0.006,0.02,35,55,1.75,0.6
2014-01-01 23:07:00,2014-01-01 23:13:00,1.37618,1.37605,43308.86168422817,-5.63015201894808,987.7163358577372,Signal Exit,0.006,0.02,0.5268,0.006,0.02,35,55,1.75,0.6
2014-01-01 23:32:00,2014-01-01 23:33:00,1.37531,1.37511,43090.63422171309,-8.618126844341669,979.0982090133956,Signal Exit,0.006,0.02,0.5018,0.006,0.02,35,55,1.75,0.6
2014-01-01 23:36:00,2014-01-01 23:37:00,1.3752,1.37517,42718.07194648323,-1.2815421583934072,977.8166668550022,Signal Exit,0.006,0.02,0.5621,0.006,0.02,35,55,1.75,0.6
2014-01-01 23:38:00,2014-01-01 23:39:00,1.37517,1.37517,42663.08893540444,0.0,977.8166668550022,Signal Exit,0.006,0.02,0.5642,0.006,0.02,35,55,1.75,0.6
2014-01-01 23:40:00,2014-01-01 23:42:00,1.37515,1.37499,42663.7094217359,-6.826193507484571,970.9904733475175,Signal Exit,0.006,0.02,0.6024,0.006,0.02,35,55,1.75,0.6
2014-01-01 23:43:00,2014-01-01 23:44:00,1.375,1.375,42370.493382437126,0.0,970.9904733475175,Signal Exit,0.006,0.02,0.5231,0.006,0.02,35,55,1.75,0.6
2014-01-01 23:49:00,2014-01-01 23:50:00,1.37469,1.37467,42380.048156930694,-0.8476009631347564,970.1428723843828,Signal Exit,0.006,0.02,0.571,0.006,0.02,35,55,1.75,0.6
2014-01-02 02:08:00,2014-01-02 02:11:00,1.37448,1.37425,42349.522978190274,-9.74039028498175,960.402482099401,Signal Exit,0.006,0.02,0.608,0.006,0.02,35,55,1.75,0.6
2014-01-02 02:45:00,2014-01-02 02:47:00,1.3734,1.37323,41957.29498031459,-7.132740146653626,953.2697419527474,Signal Exit,0.006,0.02,0.5081,0.006,0.02,35,55,1.75,0.6
