combination_index,mean_final_cash,var_final_cash,mean_drawdown,var_drawdown,mean_rank,consistency_score
8984,1192.5032124472168,52144.29253391395,-76.71747936166487,5210.0952225140945,5928.75,-85232.17734282107
344,1191.3955798858738,52830.5567523531,-71.7293654552024,3568.357787336629,5929.583333333333,-85254.9064967279
11014,1214.7891725726224,54227.96582888952,-100.32101423899313,8386.502291818948,5848.666666666667,-86093.2571711743
11664,1189.2667903513118,54232.182797973626,-73.6302938542539,4123.587939480643,5940.0,-86173.6312846879
4504,1186.3580508295602,56323.17359718202,-78.74967391614949,6050.150806125068,5947.75,-87686.38381116131
4534,1208.3075439996708,58268.79008558141,-102.2430286271398,9248.872160162096,5866.166666666667,-88468.20150607827
374,1204.587269613028,61043.55727307091,-97.50495488035402,7283.104478550019,5878.083333333333,-89583.89708242986
24,1180.6379908550991,61027.41105198374,-81.17566693693384,7182.778663655522,5964.25,-90436.47596794895
11694,1202.5979527490558,62663.58777672426,-99.24892459503873,7943.99623298164,5886.5,-90612.76985958792
54,1203.6601501186335,63698.564303651285,-105.35500881393146,10384.830114999235,5879.083333333333,-91545.02786068436
4384,1225.547271159919,68599.84039940084,-92.74659725609592,4922.595616016485,5867.833333333333,-92765.04936425395
5544,1224.4318199979855,69355.76075307459,-87.80011211169112,3397.9793557030835,5873.666666666667,-92896.05112798011
5064,1222.2880036795484,70892.43215588701,-89.68517613845749,3909.7461352382666,5879.083333333333,-93823.61618748648
3904,1218.8375287624287,73249.21913846521,-94.76183194455704,5712.089565504377,5888.333333333333,-95459.95183648774
7184,1238.0827266894676,74676.43704817169,-93.94412949130124,7270.75533256077,5829.25,-95874.97010275592
8144,1237.0689678170895,75575.66396018915,-89.44488060771118,5215.883440773192,5834.166666666667,-95962.43983128111
7664,1235.1205967115384,77373.16887732303,-91.15950664424501,5941.682852635178,5839.583333333333,-97062.98159780362
1814,1211.860548982416,76293.74521055659,-127.79371663748225,13206.030642978283,5881.666666666667,-98431.22296654945
