entry_price,exit_price,entry_time,exit_time,pnl,target,rsi_entry,rsi_exit,bb_width,bb_std,sl_mult,tp_mult,atr_window,bullish_pattern,bearish_pattern,rsi_value
1.2096600532531738,1.2084800004959106,121,122,-27.276607513427734,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,34.87152862548828
1.205680012702942,1.204759955406189,293,463,-21.5443115234375,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,0,26.379716873168945
1.204949975013733,1.2038500308990479,517,577,-25.588191986083984,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,0,32.925559997558594
1.2013399600982666,1.194100022315979,1157,1474,-163.6608428955078,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,33.444095611572266
1.1953500509262085,1.1963599920272827,1595,1605,-23.760746002197266,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,72.43698120117188
1.1948399543762207,1.1939400434494019,1788,1834,-21.28451919555664,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,0,25.143054962158203
1.1966899633407593,1.1949399709701538,2077,2134,38.53612518310547,1,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,70.75206756591797
1.1945300102233887,1.1928000450134277,2136,2227,-40.05178451538086,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,23.238039016723633
1.1888099908828735,1.1934499740600586,2351,2734,104.42841339111328,1,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,24.90922737121582
1.1938999891281128,1.1949299573898315,2749,2842,-24.242517471313477,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,73.4437026977539
1.193619966506958,1.1940399408340454,3000,3013,-10.449981689453125,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,74.05377960205078
1.1938199996948242,1.1951500177383423,3133,3193,29.13042640686035,1,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,34.1533088684082
1.1952300071716309,1.1957800388336182,3194,3375,-13.373872756958008,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,71.63944244384766
1.1955599784851074,1.1946899890899658,3469,3506,-20.595966339111328,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,31.585922241210938
1.1944600343704224,1.189329981803894,3566,3709,115.01214599609375,1,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,0,1,73.91146087646484
1.195330023765564,1.1889400482177734,4073,4353,143.38746643066406,1,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,0,1,72.33346557617188
1.1859400272369385,1.1878700256347656,4361,4906,42.983585357666016,1,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,0,15.803535461425781
1.187809944152832,1.186210036277771,4975,4999,-37.322059631347656,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,32.21451187133789
1.1876499652862549,1.1841200590133667,5022,5159,79.29396057128906,1,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,72.526611328125
1.1820499897003174,1.1844300031661987,5185,5214,53.40414047241211,1,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,27.610313415527344
1.1819700002670288,1.184000015258789,5271,5772,45.412662506103516,1,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,34.51969528198242
1.1835700273513794,1.183169960975647,5799,5852,-10.084567070007324,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,27.56072235107422
1.1833300590515137,1.1842800378799438,5892,5919,20.71731948852539,1,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,33.51215744018555
1.1829400062561035,1.1822400093078613,6001,6061,-16.935699462890625,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,24.405029296875
1.1822600364685059,1.1813499927520752,6208,6330,-21.742406845092773,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,0,20.81679344177246
1.181339979171753,1.1796599626541138,6332,6448,-39.35737991333008,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,30.32668685913086
1.1795799732208252,1.178279995918274,6486,6501,-30.717193603515625,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,30.84630584716797
1.1777900457382202,1.1762200593948364,6512,6647,-36.95363998413086,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,32.9814567565918
1.178879976272583,1.1804499626159668,6750,6884,-36.91947555541992,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,0,1,78.11280059814453
1.1810699701309204,1.1803699731826782,6909,7014,15.042222023010254,1,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,0,1,72.33816528320312
1.179010033607483,1.1794500350952148,7145,7213,-11.038107872009277,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,70.92982482910156
1.1800299882888794,1.1807600259780884,7411,7421,-17.664819717407227,0,35.0,70.0,0.004999999888241291,2.0,5.0,16.0,14,1,1,77.38355255126953
