rsi_entry,rsi_exit,exposure,tp_mult,sl_mult,bb_std,atr_window,bb_width_threshold,leverage,waiting_number,equity_2013,drawdown_2013,equity_2014,drawdown_2014,equity_2015,drawdown_2015,equity_2016,drawdown_2016,equity_2017,drawdown_2017,equity_2018,drawdown_2018,equity_2019,drawdown_2019,equity_2020,drawdown_2020,equity_2021,drawdown_2021,equity_2022,drawdown_2022,equity_2023,drawdown_2023,equity_2024,drawdown_2024,ret_2013,ret_2014,ret_2015,ret_2016,ret_2017,ret_2018,ret_2019,ret_2020,ret_2021,ret_2022,ret_2023,ret_2024,dd_2013,dd_2014,dd_2015,dd_2016,dd_2017,dd_2018,dd_2019,dd_2020,dd_2021,dd_2022,dd_2023,dd_2024,mean_return,mean_sq_return,mean_drawdown,var_return,std_return,rel_volatility,score
45.0,60.0,0.8999999761581421,7.0,0.10000000149011612,1.2999999523162842,14,0.0020000000949949026,30,18,29046154.0,0.19352216,11791.081,0.14484222,3984204800.0,0.2402411,2920011.2,0.2292221,28012.21,0.17689557,1094496.9,0.21566015,171.12701,0.8296804,125345.0,0.6400247,1427.8055,0.035059202,276237.03,0.059700623,3846.3462,0.09880804,66.20796,0.97463304,2.9045155,0.0010791081,398.42038,0.29190114,0.0027012213,0.10934969,-0.000082887294,0.0124345,0.000042780564,0.027523702,0.00028463462,-0.0000933792,0.000019352216,0.0000144842215,0.00002402411,0.00002292221,0.000017689557,0.000021566015,0.000082968036,0.000064002474,0.0000035059202,0.0000059700624,0.000009880804,0.0000974633,33.480835,13228.944,0.000031985746,12107.979,110.03626,3.2865448,23.107924
45.0,55.0,0.8999999761581421,7.0,0.10000000149011612,1.2999999523162842,14,0.0020000000949949026,30,18,10572904.0,0.2514945,8461.908,0.16107874,3688262100.0,0.31859204,3315379.5,0.2827851,2446.1316,0.7590922,398587.3,0.28685436,19.199852,0.98080015,15866.349,0.78657544,372.47055,0.6379518,374343.16,0.18011408,2384.3164,0.019495178,23.236746,0.9891732,1.0571904,0.00074619084,368.8261,0.33143795,0.00014461316,0.039758734,-0.00009808001,0.0014866348,-0.000062752944,0.037334315,0.00013843164,-0.000097676326,0.00002514945,0.000016107873,0.000031859203,0.000028278508,0.00007590922,0.000028685436,0.00009808001,0.00007865754,0.000063795174,0.000018011408,0.0000019495178,0.00009891731,30.85784,11336.161,0.000047116726,10383.955,101.901695,3.3022952,21.270248
45.0,60.0,0.8999999761581421,6.0,0.10000000149011612,1.2999999523162842,14,0.0020000000949949026,30,18,73504150.0,0.21394953,8239.736,0.13926935,3437654000.0,0.23711297,1036462.5,0.1753766,46957.184,0.14624487,454119.97,0.16095696,139.86737,0.86013263,199477.9,0.69027203,706.5973,0.30409032,230446.97,0.035368714,2765.2515,0.08917096,14.404567,0.9933522,7.3503156,0.0007239736,343.76532,0.10354625,0.004595719,0.045312,-0.000086013264,0.019847792,-0.000029340266,0.022944696,0.00017652517,-0.00009855954,0.000021394953,0.000013926935,0.000023711296,0.000017537659,0.0000146244865,0.000016095695,0.000086013264,0.0000690272,0.000030409032,0.0000035368714,0.000008917096,0.000099335215,29.276047,9852.386,0.000033710807,8995.299,94.84355,3.2396297,20.169262
40.0,55.0,0.8999999761581421,8.0,0.10000000149011612,1.2999999523162842,14,0.003000000026077032,30,18,8413834.0,0.26984516,19387.996,0.11103607,2671443000.0,0.19212641,2787236.0,0.35680652,7604.4644,0.11714044,1651931.8,0.27679095,254.5979,0.7454021,81532.555,0.6192389,3381.8987,0.04723816,6166627.5,0.2804641,2020.5201,0.14397576,91.156944,0.96545494,0.8412834,0.0018387996,267.1442,0.2786236,0.0006604464,0.16509318,-0.00007454021,0.008053256,0.00023818988,0.6165628,0.00010205202,-0.0000908843,0.000026984515,0.000011103607,0.00001921264,0.000035680652,0.0000117140435,0.000027679094,0.00007454021,0.00006192389,0.000004723816,0.00002804641,0.000014397576,0.00009654549,22.421371,5947.268,0.00003437933,5444.5503,73.78719,3.2909312,15.36586
30.0,60.0,0.8999999761581421,2.0,0.10000000149011612,1.2999999523162842,14,0.0010000000474974513,30,18,3343.2502,0.20801568,859.54047,0.16237842,2610.5803,0.6949134,221.92035,0.8389209,84.78349,0.9167616,3696.3398,0.39731225,23.180542,0.97743076,45.78619,0.9604956,267.08215,0.73864466,694.463,0.52997106,41.977116,0.961466,3.1914134,0.99715304,0.00023432505,-0.000014045948,0.00016105804,-0.00007780796,-0.00009152165,0.000269634,-0.00009768194,-0.000095421376,-0.00007329178,-0.000030553692,-0.00009580229,-0.00009968086,0.000020801568,0.000016237842,0.00006949134,0.00008389209,0.00009167616,0.000039731225,0.000097743075,0.00009604956,0.00007386447,0.000052997104,0.0000961466,0.000099715304,-8.991992e-7,1.7687048e-8,0.000069862195,1.768624e-8,0.00013298962,-147.89784,14.78977
40.0,55.0,0.8999999761581421,6.0,0.10000000149011612,1.2999999523162842,14,0.003000000026077032,30,18,7513827.5,0.2573442,15527.38,0.23062763,1416513200.0,0.09343909,696144.75,0.4049237,11416.635,0.10417273,945748.94,0.21635804,179.92392,0.82007605,48060.754,0.65321726,1210.4171,0.008640686,863643.1,0.26281542,2235.0002,0.054073792,14.704018,0.9917151,0.75128275,0.0014527381,141.65121,0.069514476,0.0010416636,0.0944749,-0.00008200761,0.0047060754,0.000021041715,0.08626432,0.00012350004,-0.0000985296,0.000025734418,0.000023062763,0.0000093439085,0.00004049237,0.000010417272,0.000021635804,0.0000820076,0.00006532172,8.6406857e-7,0.000026281541,0.000005407379,0.000099171506,11.888325,1672.1377,0.00003414503,1530.8054,39.125507,3.2910867,7.9927115
40.0,55.0,0.8999999761581421,7.0,0.10000000149011612,1.2999999523162842,14,0.003000000026077032,30,18,6735886.0,0.2644496,30121.168,0.12400232,1318513000.0,0.09171637,4522623.5,0.32917598,9939.975,0.12565301,1204129.2,0.3124731,214.70572,0.7852943,47672.64,0.5999613,1645.0234,0.014801147,2489045.8,0.19317432,2598.2505,0.059313353,62.20217,0.9728243,0.6734886,0.002912117,131.85121,0.45216236,0.00089399744,0.12031292,-0.000078529425,0.004667264,0.00006450235,0.24880458,0.00015982505,-0.00009377978,0.000026444959,0.000012400232,0.0000091716365,0.000032917596,0.000012565301,0.00003124731,0.000078529425,0.000059996128,0.0000014801147,0.000019317431,0.000005931335,0.00009728243,11.112876,1448.7897,0.00003227366,1325.2937,36.404583,3.2758923,7.4514174
45.0,55.0,0.8999999761581421,6.0,0.10000000149011612,1.2999999523162842,14,0.0020000000949949026,30,18,22320840.0,0.23274927,6070.1377,0.17499304,1280468200.0,0.25072095,1773481.8,0.21637915,5521.0386,0.6410066,291265.66,0.1675426,26.520939,0.9734791,18555.117,0.80277014,235.85031,0.7699373,230540.69,0.18156078,1535.8539,0.07536304,4.396608,0.99765867,2.2319841,0.00050701376,128.04672,0.17724818,0.00045210388,0.029026564,-0.000097347904,0.0017555119,-0.000076414966,0.02295407,0.000053585398,-0.00009956033,0.000023274926,0.000017499304,0.000025072095,0.000021637914,0.000064100655,0.00001675426,0.000097347904,0.00008027701,0.000076993725,0.000018156077,0.0000075363037,0.000099765864,10.875869,1366.7482,0.000045701338,1248.4636,35.333603,3.2488074,7.2882185
40.0,65.0,0.8999999761581421,2.0,0.10000000149011612,1.2999999523162842,14,0.0010000000474974513,30,18,4077.5662,0.3467858,97.34653,0.9034668,748.42114,0.9194968,540.3406,0.63551915,2672.6733,0.14726551,3227.5698,0.44042864,17.429373,0.9827272,76.98182,0.93558353,56.09191,0.9444091,148.7665,0.8747142,77.25598,0.92872995,1.3055732,0.99900717,0.0003077566,-0.00009026534,-0.00002515788,-0.00004596594,0.00016726734,0.000222757,-0.000098257064,-0.000092301816,-0.00009439081,-0.00008512335,-0.0000922744,-0.00009986944,0.000034678582,0.00009034668,0.000091949674,0.00006355191,0.000014726551,0.000044042863,0.00009827272,0.00009355835,0.000094440904,0.00008747142,0.00009287299,0.00009990072,-0.0000021520925,1.9668745e-8,0.00007548445,1.9664114e-8,0.00014022879,-65.15928,6.515911
40.0,70.0,0.8999999761581421,2.0,0.5,1.75,14,0.0020000000949949026,30,18,1459.7753,0.34592164,125.830666,0.8741693,752.36206,0.56997705,4648.652,0.10438141,1294.4313,0.4707287,1831.0197,0.16776532,65.55749,0.9346181,260.38904,0.76378465,58.464058,0.94153595,1023.6216,0.5914478,205.91261,0.7998323,21.379557,0.9805883,0.000045977533,-0.000087416935,-0.000024763793,0.0003648652,0.000029443132,0.00008310197,-0.00009344425,-0.00007396109,-0.00009415359,0.0000023621678,-0.00007940874,-0.000097862045,0.00003459216,0.00008741693,0.000056997702,0.000010438141,0.00004707287,0.000016776532,0.00009346181,0.00007637846,0.00009415359,0.000059144775,0.00007998323,0.00009805883,-0.0000021050364,1.5851969e-8,0.00006287292,1.5847537e-8,0.000125887,-59.80277,5.980263
