rsi_entry,rsi_exit,exposure,tp_mult,sl_mult,bb_std,atr_window,bb_width_threshold,leverage,waiting_number,equity_2013,drawdown_2013,equity_2014,drawdown_2014,equity_2015,drawdown_2015,equity_2016,drawdown_2016,equity_2017,drawdown_2017,equity_2018,drawdown_2018,equity_2019,drawdown_2019,equity_2020,drawdown_2020,equity_2021,drawdown_2021,equity_2022,drawdown_2022,equity_2023,drawdown_2023,equity_2024,drawdown_2024,ret_2013,ret_2014,ret_2015,ret_2016,ret_2017,ret_2018,ret_2019,ret_2020,ret_2021,ret_2022,ret_2023,ret_2024,dd_2013,dd_2014,dd_2015,dd_2016,dd_2017,dd_2018,dd_2019,dd_2020,dd_2021,dd_2022,dd_2023,dd_2024,mean_return,mean_sq_return,mean_drawdown,var_return,std_return,rel_volatility,score
45.0,55.0,0.8999999761581421,8.0,0.10000000149011612,1.2999999523162842,14,0.003000000026077032,30,18,152579630.0,0.27685472,4852.4844,0.15412866,54449648000.0,0.21345179,5927516.5,0.14970374,16164.635,0.13522822,1146749.8,0.48494348,34.411953,0.966064,163413.92,0.73551184,882.1099,0.14672045,2712178.8,0.16589838,7400.277,0.09048932,60.62279,0.9731697,15.257864,0.00038524845,5444.965,0.59265167,0.0015164635,0.114574976,-0.000096558804,0.016241392,-0.000011789006,0.2711179,0.0006400277,-0.00009393771,0.000027685472,0.000015412865,0.000021345179,0.000014970374,0.000013522821,0.00004849435,0.000096606396,0.00007355118,0.000014672045,0.000016589838,0.000009048932,0.000097316966,455.10165,2470656.2,0.0000374347,2263538.8,1504.5061,3.3058681,318.24057
45.0,60.0,0.8999999761581421,8.0,0.10000000149011612,1.2999999523162842,14,0.003000000026077032,30,18,322149470.0,0.20499566,8762.527,0.15031567,47916260000.0,0.25516167,6674271.0,0.2931359,72233.93,0.15562543,1266326.8,0.3939613,164.99751,0.8413337,1046847.94,0.5113185,2713.7417,0.04926178,795559.25,0.06364722,12957.773,0.12574121,384.24716,0.8562929,32.214848,0.0007762527,4791.6265,0.6673271,0.007123393,0.12653267,-0.00008350024,0.1045848,0.00017137418,0.07945593,0.0011957774,-0.00006157528,0.000020499565,0.000015031567,0.000025516167,0.00002931359,0.000015562542,0.00003939613,0.00008413337,0.00005113185,0.0000049261776,0.0000063647217,0.000012574121,0.00008562929,402.069,1913393.5,0.00003250659,1751734.0,1323.5309,3.2918003,281.1191
45.0,65.0,0.8999999761581421,2.0,0.5,1.75,14,0.0020000000949949026,30,18,1900.48,0.43197864,21.17946,0.9792792,4928.0933,0.7579652,0.0,0.97202677,701.4381,0.6817457,3518.4302,0.2972257,8.890602,0.99117535,481.46945,0.73146987,35.00395,0.96555257,367.3085,0.9021031,25.422081,0.9767131,5.2226043,0.995947,0.000090048,-0.00009788205,0.00039280934,-0.0001,-0.000029856186,0.000251843,-0.000099110934,-0.000051853047,-0.0000964996,-0.00006326915,-0.000097457785,-0.00009947774,0.000043197862,0.00009792792,0.00007579652,0.000097202676,0.000068174566,0.00002972257,0.00009911753,0.000073146985,0.00009655525,0.00009021031,0.00009767131,0.0000995947,-5.8843096e-8,2.429381e-8,0.000080693186,2.4293806e-8,0.0001558647,-2648.8188,264.88187
45.0,55.0,0.8999999761581421,8.0,0.10000000149011612,1.2999999523162842,14,0.003000000026077032,30,19,146645540.0,0.27759638,5023.563,0.15462916,43588137000.0,0.20662348,5797597.5,0.13704877,16878.232,0.13522822,1108856.1,0.48744568,33.741615,0.96672505,159119.81,0.7350235,918.2342,0.13707832,2749078.0,0.15448645,7431.777,0.09073822,59.157772,0.97411776,14.664454,0.00040235632,4358.814,0.57965976,0.0015878233,0.11078562,-0.00009662584,0.015811982,-0.000008176577,0.2748078,0.00064317766,-0.00009408422,0.000027759637,0.000015462916,0.000020662348,0.000013704876,0.000013522821,0.00004874457,0.000096672506,0.00007350235,0.000013707831,0.000015448644,0.000009073822,0.00009741177,364.53848,1583289.6,0.00003713951,1450401.2,1204.326,3.3037007,254.84657
45.0,55.0,0.8999999761581421,8.0,0.10000000149011612,1.2999999523162842,14,0.003000000026077032,30,20,151194940.0,0.27744946,4972.8433,0.15412726,41207960000.0,0.20842688,6118014.0,0.114305966,15913.248,0.13522822,1119154.0,0.49212772,35.174572,0.9653119,150440.06,0.73741823,894.0736,0.12658453,2682905.2,0.15594843,7430.201,0.08178851,60.64107,0.9739517,15.119395,0.00039728434,4120.796,0.6117014,0.0014913249,0.1118154,-0.000096482545,0.014944006,-0.000010592633,0.26819053,0.00064302015,-0.000093935894,0.000027744945,0.000015412725,0.000020842686,0.000011430597,0.000013522821,0.00004921277,0.000096531185,0.00007374182,0.000012658453,0.000015594842,0.000008178851,0.00009739517,344.74374,1415098.9,0.000036855574,1296250.6,1138.53,3.30254,240.99036
45.0,60.0,0.8999999761581421,8.0,0.10000000149011612,1.2999999523162842,14,0.003000000026077032,30,20,264858800.0,0.20499566,9474.941,0.1487367,40474964000.0,0.2516145,6826587.5,0.2931359,74177.125,0.15562543,1281184.6,0.41060755,164.48973,0.84182197,939332.25,0.5160105,3112.9116,0.04926178,680205.6,0.06305585,13387.195,0.12574121,385.30844,0.8549454,26.48578,0.0008474942,4047.4963,0.6825588,0.007317713,0.12801847,-0.00008355102,0.09383322,0.00021129116,0.06792056,0.0012387196,-0.000061469145,0.000020499565,0.00001487367,0.000025161451,0.00002931359,0.000015562542,0.000041060754,0.0000841822,0.00005160105,0.0000049261776,0.000006305585,0.000012574121,0.00008549454,339.58032,1365244.0,0.000032629603,1249929.2,1118.0023,3.292306,237.377
45.0,75.0,0.8999999761581421,2.0,0.5,1.5,14,0.0010000000474974513,30,13,877.077,0.5231,17.586714,0.98242164,0.0,0.99885404,0.0,0.95930916,10081.223,0.32359552,208.5806,0.80205697,84.552536,0.9196609,561.7213,0.9033947,27.923521,0.97651434,22.43766,0.9946834,76.8553,0.9528151,27.883717,0.97945315,-0.000012292296,-0.000098241326,-0.0001,-0.0001,0.00090812234,-0.00007914194,-0.000091544745,-0.000043827866,-0.000097207645,-0.00009775623,-0.00009231447,-0.000097211625,0.00005231,0.00009824216,0.0000998854,0.00009593091,0.000032359552,0.0000802057,0.00009196609,0.00009033947,0.000097651435,0.000099468336,0.00009528151,0.00009794531,-1.17982076e-7,7.566926e-8,0.00008596549,7.566925e-8,0.00027508044,-2331.5444,233.15443
45.0,55.0,0.8999999761581421,8.0,0.10000000149011612,1.2999999523162842,14,0.003000000026077032,30,17,143697170.0,0.27626008,5301.7026,0.1329088,39032152000.0,0.21578327,6006496.0,0.13337865,18013.414,0.13522822,1154198.2,0.4828023,33.760277,0.9667067,173081.78,0.72953624,884.5536,0.1346441,2746252.5,0.15602966,6966.5713,0.09098718,54.50818,0.9748647,14.3696165,0.0004301703,3903.215,0.6005496,0.0017013414,0.11531983,-0.00009662397,0.017208178,-0.000011544638,0.27452525,0.00059665716,-0.00009454918,0.000027626007,0.00001329088,0.000021578326,0.000013337865,0.000013522821,0.000048280228,0.000096670665,0.00007295362,0.000013464411,0.000015602966,0.000009098718,0.00009748647,326.5496,1269607.9,0.000036909416,1162973.2,1078.4124,3.302446,228.25447
45.0,60.0,0.8999999761581421,8.0,0.10000000149011612,1.2999999523162842,14,0.003000000026077032,30,19,320721920.0,0.20499566,9202.561,0.15031567,37831234000.0,0.24905048,6586172.0,0.2931359,78519.74,0.15562543,1270892.2,0.39579302,162.62477,0.84361535,999980.94,0.5075378,3030.0483,0.04926178,694798.06,0.058537964,13384.886,0.12574121,373.84503,0.8576068,32.072094,0.00082025613,3783.1235,0.65851724,0.0077519743,0.12698923,-0.00008373752,0.09989809,0.00020300483,0.06937981,0.0012384886,-0.000062615494,0.000020499565,0.000015031567,0.000024905048,0.00002931359,0.000015562542,0.0000395793,0.000084361534,0.000050753777,0.0000049261776,0.000005853796,0.000012574121,0.00008576068,318.01334,1192754.4,0.000032426808,1091621.9,1044.8071,3.2854192,222.28079
45.0,60.0,0.8999999761581421,8.0,0.10000000149011612,1.2999999523162842,14,0.003000000026077032,30,13,244780340.0,0.20499566,9495.241,0.13190979,37256675000.0,0.25514418,5791750.0,0.2931359,80573.016,0.15562543,1374692.2,0.40505347,171.08604,0.8354788,961985.0,0.5085656,2946.8167,0.04926178,738599.25,0.06968939,11284.899,0.12574121,378.51355,0.8621975,24.477934,0.00084952416,3725.6675,0.57907504,0.007957302,0.13736922,-0.00008289139,0.096098505,0.00019468166,0.07375993,0.0010284899,-0.00006214864,0.000020499565,0.000013190978,0.000025514417,0.00002931359,0.000015562542,0.000040505347,0.00008354788,0.00005085656,0.0000049261776,0.000006968939,0.000012574121,0.00008621975,312.5868,1156766.4,0.000032473323,1059055.9,1029.1044,3.2922196,218.48152
