Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Cash,Reason,sl,tp,rsi_entry,rsi_exit,bb_std,exposure
2017-01-02 02:52:00,2017-01-02 04:37:00,1.05144,1.04884,57064.59712394431,-148.36795252225153,851.6320474777485,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-02 05:49:00,2017-01-02 08:50:00,1.04791,1.04672,48761.74752475395,-58.02647955444756,793.605567923301,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-02 10:36:00,2017-01-02 11:05:00,1.04636,1.04757,45506.64596830733,55.06304162164884,848.6686095449498,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-02 12:01:00,2017-01-02 12:56:00,1.04664,1.04659,48651.03242060019,-2.432551621035143,846.2360579239147,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-02 13:34:00,2017-01-02 15:49:00,1.0461,1.04591,48536.62506016144,-9.221958761437202,837.0140991624775,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-02 16:02:00,2017-01-02 17:15:00,1.0456,1.04604,48030.64838346274,21.133485288723413,858.1475844512008,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-02 21:47:00,2017-01-02 22:25:00,1.04729,1.04788,49163.89449634012,29.006697752834203,887.154282204035,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-03 02:37:00,2017-01-03 05:19:00,1.04561,1.0416,50907.37170861229,-204.13856055152752,683.0157216525074,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-03 05:42:00,2017-01-03 08:54:00,1.0403,1.03905,39393.38969446356,-49.241737118078404,633.773984534429,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-03 10:02:00,2017-01-03 11:12:00,1.0374,1.03945,36655.52252946379,75.14382118539658,708.9178057198255,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-03 13:56:00,2017-01-03 14:57:00,1.04153,1.04114,40839.02368936999,-15.927219238858891,692.9905864809666,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-03 23:57:00,2017-01-04 00:28:00,1.0403,1.04061,39968.69671138902,12.390295980531894,705.3808824614985,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-04 01:57:00,2017-01-04 03:06:00,1.04061,1.04269,40671.19569069095,84.59608703663146,789.97696949813,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-04 12:07:00,2017-01-04 12:17:00,1.0471,1.04792,45266.56305022232,37.11858170118425,827.0955511993142,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-04 14:23:00,2017-01-04 14:55:00,1.04665,1.04634,47413.875767409205,-14.698301487898393,812.3972497114157,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-04 20:23:00,2017-01-04 22:01:00,1.05169,1.05189,46348.10161044123,9.269620322087224,821.666870033503,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-05 03:37:00,2017-01-05 05:20:00,1.05172,1.05119,46875.60586659014,-24.844071109288997,796.822798924214,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-05 05:43:00,2017-01-05 06:31:00,1.04926,1.04963,45564.8437331575,16.85899218126743,813.6817911054815,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-05 11:25:00,2017-01-05 11:41:00,1.05893,1.06049,46103.99881609633,71.92223815311054,885.604029258592,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-05 13:31:00,2017-01-05 14:25:00,1.05921,1.0593,50165.917764669444,4.514932598816411,890.1189618574084,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-05 14:53:00,2017-01-05 15:44:00,1.05914,1.05959,50425.003032124645,22.69125136445919,912.8102132218676,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-05 17:01:00,2017-01-05 18:04:00,1.0601,1.06064,51663.62870796344,27.89835950229948,940.7085727241671,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-05 20:44:00,2017-01-05 21:14:00,1.05778,1.05869,53359.40778181666,48.55706108145137,989.2656338056184,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-05 22:25:00,2017-01-05 22:46:00,1.05848,1.0586,56076.57965038272,6.729189558040205,995.9948233636586,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-05 23:52:00,2017-01-06 01:08:00,1.05816,1.05856,56475.09771851092,22.59003908740188,1018.5848624510605,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-06 01:46:00,2017-01-06 03:08:00,1.0577,1.05929,57781.12106179789,91.8719824882575,1110.456844939318,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-06 05:20:00,2017-01-06 05:47:00,1.0592,1.06001,62903.52218311847,50.95185296832454,1161.4086979076426,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-06 07:27:00,2017-01-06 08:04:00,1.05762,1.05819,65888.05230088175,37.55618981149993,1198.9648877191426,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-06 08:32:00,2017-01-06 09:35:00,1.055,1.05548,68187.57655274744,32.73003674532122,1231.6949244644638,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-06 11:35:00,2017-01-06 12:01:00,1.05595,1.05605,69985.97989286219,6.998597989285448,1238.6935224537492,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-06 13:25:00,2017-01-06 14:52:00,1.05419,1.05322,70501.15382163078,-68.38611920697589,1170.3074032467732,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-08 21:37:00,2017-01-08 23:38:00,1.05353,1.05264,66650.63566752383,-59.31906574410004,1110.9883375026732,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-09 02:44:00,2017-01-09 03:27:00,1.05301,1.05506,63303.57760150463,129.7723340830913,1240.7606715857644,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-09 04:23:00,2017-01-09 05:58:00,1.0534,1.05189,70671.767889829,-106.71436951363475,1134.0463020721297,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-09 20:57:00,2017-01-09 21:18:00,1.05776,1.05818,64327.23691983793,27.017439506323242,1161.063741578453,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-10 04:11:00,2017-01-10 08:22:00,1.0595,1.05696,65751.60405352256,-167.00907429596103,994.0546672824919,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-10 10:31:00,2017-01-10 10:58:00,1.05784,1.05908,56382.1372201368,69.91385015297695,1063.9685174354688,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-10 12:07:00,2017-01-10 14:55:00,1.05655,1.05599,60421.28725202605,-33.835920861141595,1030.1325965743272,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-10 18:13:00,2017-01-10 18:44:00,1.05521,1.05538,58574.08079383216,9.95759373495167,1040.0901903092788,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-10 21:12:00,2017-01-10 23:46:00,1.05552,1.05481,59122.907589204115,-41.977264388334234,998.1129259209446,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-11 04:12:00,2017-01-11 07:33:00,1.05491,1.05108,56769.55906689354,-217.42741122620225,780.6855146947423,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-11 10:15:00,2017-01-11 10:51:00,1.0467,1.0478,44751.24761792733,49.22637237972458,829.9118870744669,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-11 14:21:00,2017-01-11 16:25:00,1.05876,1.05823,47031.16213728136,-24.926515932755333,804.9853711417115,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-11 18:11:00,2017-01-11 18:35:00,1.05801,1.05894,45650.91281604398,42.455348918925345,847.4407200606369,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-11 23:35:00,2017-01-12 00:33:00,1.05998,1.0602,47969.24772508747,10.553234499524473,857.9939545601613,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-12 08:34:00,2017-01-12 09:52:00,1.06536,1.0654,48321.35360217173,1.9328541440780727,859.9268087042394,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-12 12:18:00,2017-01-12 15:36:00,1.06533,1.06222,48431.57380553852,-150.62219453523295,709.3046141690065,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-12 16:52:00,2017-01-12 17:24:00,1.06116,1.06163,40105.42882330694,18.849551546953077,728.1541657159596,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-12 18:22:00,2017-01-12 18:47:00,1.06066,1.06133,41190.626537210395,27.597719779937986,755.7518854958976,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-12 19:41:00,2017-01-12 19:55:00,1.06055,1.06131,42756.22377988199,32.49473007270483,788.2466155686024,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-13 05:45:00,2017-01-13 06:13:00,1.0643,1.06487,44437.46775732044,25.329356621670847,813.5759721902732,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-13 08:31:00,2017-01-13 09:28:00,1.06394,1.06399,45880.931567021056,2.2940465783457062,815.8700187686189,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-13 11:24:00,2017-01-13 11:39:00,1.06143,1.06222,46119.104534559156,36.434092582294646,852.3041113509136,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-15 17:00:00,2017-01-15 18:02:00,1.06072,1.06292,48210.88193025003,106.06394024654908,958.3680515974627,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-15 21:05:00,2017-01-15 21:34:00,1.06154,1.06265,54168.5504981892,60.12709105299903,1018.4951426504617,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-15 22:37:00,2017-01-15 23:27:00,1.06099,1.06097,57596.87514399542,-1.151937502887455,1017.3432051475743,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-15 23:42:00,2017-01-16 00:08:00,1.06058,1.06132,57553.97264596207,42.5899397580098,1059.9331449055842,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-16 01:59:00,2017-01-16 02:46:00,1.0618,1.06111,59894.50809411852,-41.32721058494654,1018.6059343206376,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-16 03:10:00,2017-01-16 03:31:00,1.05965,1.06009,57675.98363538739,25.37743279957022,1043.983367120208,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-16 04:15:00,2017-01-16 05:10:00,1.05808,1.05934,59200.6294677269,74.5927931293382,1118.576160249546,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-16 08:51:00,2017-01-16 09:31:00,1.05907,1.06043,63371.230999813764,86.18487415974849,1204.7610344092946,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-16 12:52:00,2017-01-16 14:16:00,1.06011,1.06015,68186.94481191355,2.727477792464129,1207.4885122017588,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-16 18:33:00,2017-01-16 18:45:00,1.05992,1.06034,68353.56511067395,28.708497346489004,1236.1970095482477,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-17 18:15:00,2017-01-17 19:10:00,1.07073,1.07006,69272.19800780296,-46.41237266522441,1189.7846368830233,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-17 20:24:00,2017-01-17 22:01:00,1.06987,1.06948,66725.00230213147,-26.02275089783878,1163.7618859851846,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-18 00:36:00,2017-01-18 01:12:00,1.06838,1.06864,65356.627004540576,16.992723021175777,1180.7546090063604,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-18 05:43:00,2017-01-18 06:31:00,1.06806,1.0685,66330.80214630415,29.18555294437356,1209.940161950734,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-18 08:00:00,2017-01-18 08:35:00,1.06657,1.06695,68065.30252777036,25.864814960555933,1235.80497691129,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-18 11:44:00,2017-01-18 14:07:00,1.06818,1.06705,69415.54664445824,-78.43956770822763,1157.3654092030624,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-18 14:43:00,2017-01-18 17:22:00,1.06609,1.06313,65137.01896855213,-192.80557614691912,964.5598330561434,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-18 18:26:00,2017-01-18 18:36:00,1.06281,1.06322,54453.37358828821,22.325883171199333,986.8857162273426,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-18 19:36:00,2017-01-18 20:04:00,1.06266,1.06287,55721.625895056335,11.701541437964254,998.5872576653069,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-18 23:01:00,2017-01-18 23:10:00,1.06381,1.0642,56321.36890978504,21.965333874822498,1020.5525915401294,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-18 23:39:00,2017-01-18 23:49:00,1.0637,1.06396,57566.189237950326,14.96720920186288,1035.5198007419922,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-19 02:36:00,2017-01-19 02:54:00,1.06333,1.0644,58430.76753643697,62.52092126398197,1098.0407220059742,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-19 09:14:00,2017-01-19 10:47:00,1.05956,1.06133,62179.05859069656,110.05693370553597,1208.0976557115102,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-19 12:35:00,2017-01-19 14:09:00,1.06165,1.0636,68276.60654894798,133.13938277045665,1341.237038481967,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-19 17:27:00,2017-01-19 18:23:00,1.06583,1.06611,75503.80671300115,21.141065879627934,1362.3781043615948,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-19 18:49:00,2017-01-19 19:57:00,1.06561,1.06567,76709.75897532463,4.602585538515564,1366.9806899001103,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-19 23:18:00,2017-01-20 01:02:00,1.06815,1.06765,76785.88343772563,-38.39294171885859,1328.5877481812518,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-20 03:27:00,2017-01-20 06:38:00,1.06658,1.06333,74739.13338978334,-242.902183516794,1085.6855646644578,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-20 07:46:00,2017-01-20 08:22:00,1.06377,1.06391,61236.10731630659,8.5730550242711,1094.258619688729,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-20 13:24:00,2017-01-20 14:21:00,1.06668,1.06962,61551.277966516405,180.9607572215547,1275.2193769102837,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-22 22:48:00,2017-01-22 23:35:00,1.0743,1.07443,71221.41172355675,9.258783524059776,1284.4781604343434,Signal Exit,0.006,0.02,35,55,1.75,0.6
2017-01-23 03:16:00,2017-01-23 03:40:00,1.07384,1.07424,71769.2483294165,28.707699331779374,1313.1858597661228,Signal Exit,0.006,0.02,35,55,1.75,0.6
