Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Cash,Reason,Type,rsi_entry,rsi_exit,bb_std,exposure,atr_window,atr_factor
2023-01-01 18:46:00,2023-01-01 19:01:00,1.06959,1.07026,56096.26118419207,-37.5844949934058,962.4155050065942,Stop Loss,SHORT,35,55,1.75,0.6,20,1.5
2023-01-01 19:09:00,2023-01-01 19:19:00,1.07005,1.0695,53964.70286472189,29.68058657559976,992.096091582194,Signal Exit,SHORT,35,55,1.75,0.6,20,1.5
2023-01-01 19:46:00,2023-01-01 19:55:00,1.06987,1.0704,55638.31633276158,-29.48830765635915,962.607783925835,Stop Loss,SHORT,35,55,1.75,0.6,20,1.5
2023-01-01 20:11:00,2023-01-01 20:51:00,1.07045,1.06962,53955.3150876268,44.78291152272411,1007.3906954485591,Take Profit,SHORT,35,55,1.75,0.6,20,1.5
2023-01-01 21:12:00,2023-01-01 22:29:00,1.06871,1.06904,56557.38388048539,18.663936680556866,1026.054632129116,Signal Exit,LONG,35,55,1.75,0.6,20,1.5
2023-01-01 23:04:00,2023-01-01 23:18:00,1.0698,1.07004,57546.53012502052,-13.81116723000596,1012.2434648991101,Stop Loss,SHORT,35,55,1.75,0.6,20,1.5
2023-01-01 23:28:00,2023-01-02 00:08:00,1.06999,1.0694,56761.846273279756,33.48948930124019,1045.7329542003504,Take Profit,SHORT,35,55,1.75,0.6,20,1.5
2023-01-02 02:12:00,2023-01-02 02:26:00,1.06833,1.06732,58730.89518409202,-59.31820413593032,986.4147500644201,Stop Loss,LONG,35,55,1.75,0.6,20,1.5
2023-01-02 02:48:00,2023-01-02 02:52:00,1.06732,1.06645,55451.8654235517,-48.24312291849821,938.1716271459219,Stop Loss,LONG,35,55,1.75,0.6,20,1.5
2023-01-02 03:00:00,2023-01-02 03:34:00,1.06795,1.06845,52708.738825558605,-26.3543694127764,911.8172577331455,Stop Loss,SHORT,35,55,1.75,0.6,20,1.5
2023-01-02 03:35:00,2023-01-02 03:47:00,1.06844,1.06875,51204.59311144166,-15.873423864548577,895.9438338685969,Stop Loss,SHORT,35,55,1.75,0.6,20,1.5
2023-01-02 04:48:00,2023-01-02 05:13:00,1.06778,1.06838,50344.293798456434,30.206576279081712,926.1504101476786,Take Profit,LONG,35,55,1.75,0.6,20,1.5
2023-01-02 05:14:00,2023-01-02 05:23:00,1.06844,1.06882,52009.49478572565,-19.76360801857819,906.3868021291004,Stop Loss,SHORT,35,55,1.75,0.6,20,1.5
2023-01-02 06:15:00,2023-01-02 07:05:00,1.06845,1.06792,50899.16058565776,26.97655511039451,933.3633572394949,Take Profit,SHORT,35,55,1.75,0.6,20,1.5
2023-01-02 08:58:00,2023-01-02 09:52:00,1.06788,1.06755,52442.0360287389,-17.305871889480766,916.0574853500142,Stop Loss,LONG,35,55,1.75,0.6,20,1.5
2023-01-02 09:53:00,2023-01-02 09:54:00,1.06759,1.06743,51483.66800082508,-8.237386880128819,907.8200984698854,Stop Loss,LONG,35,55,1.75,0.6,20,1.5
