Entry Time,Exit Time,Entry Price,Exit Price,Size,PnL,Cash,Reason,sl,tp,rsi_entry,rsi_exit,bb_std,exposure
2014-01-01 20:24:00,2014-01-01 21:16:00,1.37562,1.37659,43616.696471409254,42.308195577263284,1042.3081955772632,Signal Exit,0.006,0.02,35,55,1.75,0.6
2014-01-01 22:38:00,2014-01-02 00:31:00,1.37634,1.37494,45438.257795774145,-63.6135609140768,978.6946346631864,Signal Exit,0.006,0.02,35,55,1.75,0.6
2014-01-02 01:44:00,2014-01-02 03:35:00,1.37468,1.3723,42716.61628872988,-101.6655467671697,877.0290878960168,Signal Exit,0.006,0.02,35,55,1.75,0.6
2014-01-02 05:28:00,2014-01-02 08:15:00,1.372,1.36562,38354.04174472376,-244.69878633133962,632.3303015646771,Signal Exit,0.006,0.02,35,55,1.75,0.6
2014-01-02 14:44:00,2014-01-02 16:04:00,1.36566,1.3667,27781.305811022234,28.892558043461175,661.2228596081383,Signal Exit,0.006,0.02,35,55,1.75,0.6
2014-01-02 17:32:00,2014-01-02 18:49:00,1.36631,1.36646,29036.87419142676,4.355531128716758,665.578390736855,Signal Exit,0.006,0.02,35,55,1.75,0.6
2014-01-02 19:49:00,2014-01-02 20:33:00,1.36649,1.36607,29224.292489671567,-12.2742028456646,653.3041878911904,Signal Exit,0.006,0.02,35,55,1.75,0.6
2014-01-03 00:32:00,2014-01-03 01:34:00,1.3651,1.36519,28714.5639685528,2.5843107571675548,655.888498648358,Signal Exit,0.006,0.02,35,55,1.75,0.6
2014-01-03 03:21:00,2014-01-03 04:40:00,1.36419,1.36424,28847.38190347494,1.4423690951703854,657.3308677435284,Signal Exit,0.006,0.02,35,55,1.75,0.6
2014-01-03 07:02:00,2014-01-03 07:16:00,1.36355,1.36474,28924.390058752302,34.42002416991595,691.7508919134443,Signal Exit,0.006,0.02,35,55,1.75,0.6
2014-01-03 08:08:00,2014-01-03 08:41:00,1.36379,1.36401,30433.610390754187,6.695394285962481,698.4462861994068,Signal Exit,0.006,0.02,35,55,1.75,0.6
2014-01-03 10:09:00,2014-01-03 10:20:00,1.3603,1.36092,30807.01107988268,19.100346869522422,717.5466330689293,Signal Exit,0.006,0.02,35,55,1.75,0.6
2014-01-03 12:02:00,2014-01-03 14:00:00,1.3601,1.3602,31654.14159557073,3.1654141595567244,720.712047228486,Signal Exit,0.006,0.02,35,55,1.75,0.6
2014-01-03 15:17:00,2014-01-05 17:00:00,1.35901,1.35933,31819.28229645783,10.182170334862558,730.8942175633485,Signal Exit,0.006,0.02,35,55,1.75,0.6
